"","Ring","MinRingDist","MedRingDist","MaxRingDist","Ring_Area","Pop_TOT","Popdens_TOT","DStr_TOT","Area_DStr","Avg_Area_DStr","NonCC_Feat_TOT","NonCC_Feat_Area","NonCCDStr_TOT","NonCCDStr_Area","OB","OB_Area","Unoccu","Unoccu_Area","DomPlat","DomPlat_Area","Unk","Unk_Area","CCStr","CCStrArea","AoD","AoD_Area","Plazas","Plaza_Area","PlazAoD_O","PlazAoD_O_Area","CCFeat_AoD_Area","CCFeat_O_Area","UnOccuFeat","UnOccuFeat_Area","Popdens_DStrArea","Area_NonDStr","Area_NonCCZone","Popdens_NonCCZone","Area_NonCCZone_AoD","Popdens_NonCCZone_AoD","Area_NonCCZone_O","Popdens_NonCCZone_O","Area_Open","Area_OpenUnoccu","PctRow_Area_DStr","PctRow_Area_NonDStr","PctRow_Area_CCFeat_AoD","PctRow_Area_CCFeat_O","PctRow_Area_CCStr","PctRow_Area_Open","PctRow_Area_OpenUnoccu","PctRow_Area_NonCCZone","PctRow_Area_NonCCZone_AoD","PctRow_Area_NonCCZone_O","PctRow_Area_UnOccuFeat","PctRow_Area_Unk","PctRow_Area_OB","PctRow_Area_AoD","PctRow_Area_Plazas","PctRow_Area_DomPlat","PctCol_Area_DStr","PctCol_Area_NonDStr","PctCol_Area_CCFeat_AoD","PctCol_Area_CCFeat_O","PctCol_Area_CCStr","PctCol_Area_Open","PctCol_Area_OpenFields","PctCol_Area_NonCCZone","PctCol_Area_NonCCZone_AoD","PctCol_Area_NonCCZone_O","PctCol_Area_UnOccuFeat","PctCol_Area_Unk","PctCol_Area_OB","PctCol_Area_AoD","PctCol_Area_Plazas","PctCol_Area_DomPlat","Elite_DStr","Elite_Pop","Elite_DStrArea","Avg_Elite_DStrArea","Med_Elite_DStrArea","Avg_Elite_DStrPop","PctRow_DStr_Elite","PctRow_Pop_Elite","PctRow_DStrArea_Elite","PctCol_DStr_Elite","PctCol_Pop_Elite","PctCol_DStrArea_Elite","Elite_Popdens_NonCCZone","Elite_Popdens_NonCCZone_AoD","Elite_Popdens_NonCCZone_O","Elite_Popdens_EliteDStrArea","Elite_Popdens_TOTArea","IM_DStr","IM_Pop","IM_DStrArea","Avg_IM_DStrArea","Med_IM_DStrArea","Avg_IM_DStrPop","PctRow_DStr_IM","PctRow_Pop_IM","PctRow_DStrArea_IM","PctCol_DStr_IM","PctCol_Pop_IM","PctCol_DStrArea_IM","IM_Popdens_NonCCZone","IM_Popdens_NonCCZone_AoD","IM_Popdens_NonCCZone_O","IM_Popdens_IMDStrArea","IM_Popdens_TOTArea","Low_DStr","Low_Pop","Low_DStrArea","Avg_Low_DStrArea","Med_Low_DStrArea","Avg_Low_DStrPop","PctRow_Ring_DStr_Low","PctRow_Ring_Pop_Low","PctRow_Ring_DStrArea_Low","PctCol_Tot_LowDStr","PctCol_Tot_LowPop","PctCol_Tot_LowDStrArea","Low_Popdens_NonCCZone","Low_Popdens_NonCCZone_AoD","Low_Popdens_NonCCZone_O","Low_Popdens_TOTArea","Low_Popdens_OpenArea","Low_Popdens_LowDStrArea","UncerStat_DStr","UncerStat_Pop","UncerStat_Area","Avg_UncerStat_DStrArea","Med_UncerStat_DStrArea","Avg_UncerStat_DStrPop","PctRow_DStr_UncerStat","PctRow_Pop_UncerStat","PctRow_DStrArea_UncerStat","PctCol_DStr_UncerStat","PctCol_Pop_UncerStat","PctCol_DStrArea_UncerStat","UncerStat_Popdens_NonCCZone","UncerStat_Popdens_NonCCZone_AoD","UncerStat_Popdens_NonCCZone_O","UncerStat_Popdens_TOTArea","UncetStat_Popdens_OpenArea","UncerStat_Popdens_UncerStatDStrArea"
"1",1,0,250,500,78.5398163397,3044.131996796,38.7590923771649,175,19.3285968,0.110449124571429,179,20.0498905,4,0.7212937,0,0,0,0,4,0.7212937,0,0,164,15.0168636,4,3.551742,17,10.3938331,21,13.9455751,18.5686056,28.9624387,4,7.212937e-05,157.493688149985,59.2112195397,63.5229527397,47.9217647402197,59.9712107397,50.7598889408586,49.5773776397,61.4016340057154,29.5274871397,29.5274871397,0.246099337900156,0.753900662099844,0.236422829405243,0.368761222648291,0.191200645734249,0.375955642829465,0.375955642829465,0.808799354265751,0.763577170594757,0.631238777351709,9.18379662208865e-07,0,0,0.0452221836709934,0.132338393243048,0.00918379662208865,0.0422754769456447,0.017311064634273,0.261874540682058,0.247225172508137,0.249959924403722,0.0089864028836937,0.00896129925432995,0.0166396953713116,0.0157540145355107,0.0131837824678656,0.0412636210755296,0,0,0.327971905171227,0.225080345055399,0.0909394001046172,128,600.733406352,11.191501,0.0874336015625,0.05727925,4.693229737125,0.731428571428571,0.197341444781068,0.579012595472011,0.442906574394464,0.31279931529295,0.312799315294476,9.4569502902934,10.0170298205156,12.1170871666062,53.6776439864501,7.6487752881126,44,2423.636705769,8.1029421,0.184157775,0.1649981,55.0826524038409,0.251428571428571,0.796166758971003,0.41922040093464,0.0226570545829042,0.0214989987030749,0.0214987057747668,38.1537161173916,40.4133362637715,48.8859399418542,299.10576625853,30.8587009585851,2,11,0.0048601,0.00243005,0.00243005,5.5,0.0114285714285714,0.00361350953624143,0.000251446085315412,0.00242130750605327,0.00242130750605327,0.00114109585303777,0.173165753882302,0.183421342746348,0.221875390020459,0.140056349920948,0.372534240653699,2263.32791506348,1,8.761884675,0.0292936,0.0292936,0.0292936,8.761884675,0.00571428571428571,0.00287828671168728,0.0015155575080339,0.004739336492891,0.000727529538351581,0.000727529538316176,0.137932578652379,0.146101513825196,0.176731507234537,0.111559780546254,0.2967365503724,299.105766276593
"2",2,500,750,1000,235.619449019,19136.041374217,81.2158820245518,515,76.1092183,0.147784889902913,524,76.4315845,9,0.3223662,0,0,6,0.2107752,2,0.0947636,1,0.0168274,182,15.9562724,4,2.554887,31,17.3198757,35,19.8747627,18.5111594,35.8310351,9,3.223662e-05,251.428694206113,159.510230719,219.663176619,87.1153812339151,217.108289619,88.1405376450551,199.788413919,95.7815370713905,123.356829419,123.567604619,0.323017554861792,0.676982445138208,0.078563800556665,0.15207163606053,0.0677205233542216,0.523542644431923,0.524437202164222,0.932279476645778,0.921436199443335,0.84792836393947,1.36816464575471e-07,7.14177037169927e-05,0,0.0108432772024434,0.0735078355038652,0.000402189209738617,0.166465964233508,0.0466346063342439,0.261064372295535,0.305855937253744,0.265596648481857,0.0375424485791674,0.0375015414583915,0.0575402777357108,0.0570328180513688,0.0531284048109635,0.0184418590157635,0.0804973139497615,0,0.235921178083093,0.37506505649707,0.0119476226338229,130,821.339279852,15.3013288,0.117702529230769,0.07497995,6.3179944604,0.252427184466019,0.0429210652187779,0.201044356278719,0.449826989619377,0.427667850071869,0.427667850070839,3.73908495949957,3.78308576468156,4.11104559939594,53.6776439868412,3.48587216917636,324,16569.836862741,55.3979185,0.170981229938272,0.14144865,51.1414717985833,0.629126213592233,0.86589679331831,0.727873965038477,0.166838311019567,0.146983621915893,0.146981619227664,75.4329292591491,76.320608908205,82.9369258092158,299.105766270641,70.3245718115776,30,165,0.1280092,0.00426697333333333,0.0039958,5.5,0.058252427184466,0.00862247299602483,0.00168191452834827,0.036319612590799,0.036319612590799,0.0300550950125887,0.751150022227841,0.759989405699598,0.825873716915816,0.700281749605037,1.33758301649885,1288.96985529165,31,1579.865231624,5.2819618,0.170385864516129,0.116759,50.9633945685161,0.0601941747572816,0.0825596684668876,0.0693997641544559,0.146919431279621,0.131181665275813,0.131181665270151,7.19221699303855,7.27685356646898,7.9076919458629,6.70515629419285,12.8072781950138,299.105766274947
"3",3,1000,1250,1500,392.699081699,32710.649659451,83.2969853607231,604,114.3932567,0.18939280910596,619,121.8231035,15,7.4298468,5,0.0279396,7,0.2863782,3,7.115529,0,0,61,13.7439377,1,3.8185418,14,7.5266646,15,11.3452064,17.5624795,25.1543653,15,0.00074298468,285.949107518075,278.305824999,378.955143999,86.3179987854639,375.136602199,87.1966357526981,367.544716399,88.9977414991347,245.721612899,246.007991099,0.291300036162757,0.708699963837243,0.0447224868059698,0.064055065245303,0.0349986499600083,0.625724949077786,0.626454205175765,0.965001350039992,0.95527751319403,0.935944934754697,1.89199495141547e-06,0,7.11476071681151e-05,0.00972383684596155,0.0191664940173431,0.018119545809007,0.250200753650056,0.0813658317140745,0.247685063239243,0.214719221852861,0.228771714254731,0.0747829776470398,0.0746609834004681,0.099266452259767,0.0985457423812338,0.0977387231618631,0.42504514181177,0,0.207143053083206,0.352608502847888,0.16299129002603,0.89711297726156,23,422.427631211,7.8697126,0.342161417391304,0.3195293,18.3664187483043,0.0380794701986755,0.0129140703596191,0.0687952491870965,0.0795847750865052,0.219956260807975,0.219956260812943,1.114716709617,1.12606348923242,1.14932309556702,53.6776439854995,1.07570312969254,432,29689.594175404,99.266325,0.229783159722222,0.2119393,68.7259124430648,0.71523178807947,0.907643060731014,0.867763781394293,0.222451081359423,0.263363129116047,0.263373165966147,78.3459326138144,79.1434213600262,80.7781824924222,299.090292457226,75.6039307424731,102,561,0.44482,0.00436098039215686,0.0039096,5.5,0.16887417218543,0.017150377807856,0.00388851592158579,0.123486682808717,0.123486682808717,0.10443864474975,1.48038629078876,1.49545524673277,1.52634489075606,1.42857476919185,2.283071453835,1261.18429926712,47,2037.627852836,6.8123991,0.144944661702128,0.1138762,43.3537841028936,0.0778145695364238,0.0622924911015112,0.059552453497025,0.222748815165877,0.169191276317055,0.169191276321399,5.37696317124376,5.43169565670665,5.54389102038944,5.18877671936555,8.29242421452579,299.105766254358
"4",4,1500,1750,2000,542.687909388,31961.400117558,58.8946235297586,627,105.7554728,0.168669015629984,694,106.3964651,67,0.6409923,3,0.0320131,61,0.5611462,0,0,3,0.047833,21,1.9545359,1,0.9042385,5,2.7570169,6,3.6612554,2.8587744,5.6157913,67,6.409923e-05,302.219821550058,436.932436588,540.733373488,59.1075041501342,539.829134988,59.2065119239414,537.072118088,59.5104438326495,430.675652988,431.236799188,0.194873464049093,0.805126535950907,0.00526780558502565,0.0103481046893656,0.00360158364722768,0.793597287755464,0.794631300473074,0.996398416352772,0.994732194414974,0.989651895310634,1.18114350607674e-07,8.81408986132421e-05,5.89898898541923e-05,0.00166622193779797,0.00508029910433999,0,0.231308206099687,0.127742102077696,0.0403175256688971,0.0479367427340362,0.0325338005872519,0.131071936857928,0.130876088057195,0.141643897581585,0.14180931040739,0.14282001815195,0.0366697551628861,0.228818951124888,0.237343815683044,0.0834984138977922,0.0597037021092407,0,5,57.766280871,1.0761702,0.21523404,0.2243222,11.5532561742,0.00797448165869218,0.00180737641838369,0.0101760237225283,0.0173010380622837,0.0300786553775925,0.0300786553743166,0.106829509150469,0.107008453466084,0.107557772830678,53.677643992558,0.106444753737271,431,27632.535454937,92.3838273,0.214347627146172,0.1807391,64.112611264355,0.687400318979266,0.864559604813966,0.873560723185571,0.221936148300721,0.245115879989063,0.245112540230241,51.1019604295799,51.1875585513762,51.4503258022591,299.105766263669,50.9179124445554,147,808.5,0.7189737,0.00489097755102041,0.0045798,5.5,0.23444976076555,0.0252961383739835,0.00679845383850433,0.177966101694915,0.177966101694915,0.168806795644785,1.4951916039226,1.49769611826893,1.50538442188787,1.48980654629244,1.87728280990736,1124.51957561174,44,3462.59838175,11.5765016,0.263102309090909,0.2420901,78.6954177670455,0.0701754385964912,0.108336880393667,0.109464799253396,0.208530805687204,0.287511499593152,0.287511499589142,6.40352260748123,6.41424880083023,6.44717583567175,6.38045978517347,8.03992136013892,299.105766266209
"5",5,2000,2250,2500,569.140647827,20533.023568913,36.0772396898883,454,67.4468378,0.148561316740088,566,69.551542,112,2.1047042,1,0.011961,111,2.0927432,0,0,0,0,29,3.0377322,0,0,5,0.7041237,5,0.7041237,3.0377322,3.7418559,112,0.00021047042,304.432709355471,501.693810027,566.102915627,36.2708316846791,566.102915627,36.2708316846791,565.398791927,36.3160018416949,495.847249927,497.939993127,0.118506450132343,0.881493549867656,0.00533740159237998,0.00657457153040561,0.00533740159237998,0.871220939534302,0.874897962442418,0.99466259840762,0.99466259840762,0.993425428469594,3.69803880294939e-07,0,2.10158948331446e-05,0,0.00123716993802564,0,0.147519619037764,0.146675816500774,0.0428413819393147,0.0319407139695764,0.0505639081033374,0.150906277108308,0.151119845315607,0.148289392394026,0.148711247469929,0.15035274222311,0.120405483348705,0,0.0886783653999423,0,0.0152479267112423,0,2,6.356705208,0.1184237,0.05921185,0.05921185,3.178352604,0.00440528634361234,0.000309584469460409,0.00175580803878696,0.0069204152249135,0.00330990921356626,0.00330990921366477,0.0112288861839892,0.0112288861839892,0.0112428701630843,53.6776439851145,0.0111689531089901,300,17428.13336151,58.2674603,0.194224867666667,0.1586614,58.0937778717,0.66079295154185,0.848785533363737,0.863902033076486,0.154479917610711,0.154597186799593,0.154595080376127,30.7861572170267,30.7861572170267,30.8244969928415,299.105766267798,30.6218391324732,121,665.5,0.9265954,0.0076578132231405,0.0044343,5.5,0.266519823788546,0.0324112032388434,0.0137381592706782,0.146489104116223,0.146489104116223,0.21755399444124,1.17558129737401,1.17558129737401,1.17704531651338,1.16930674788544,1.34214720379709,718.220703448344,31,2433.033502195,8.1343584,0.262398658064516,0.2406679,78.4849516837097,0.0682819383259912,0.118493678927959,0.120603999614049,0.146919431279621,0.202023172673847,0.202023172681074,4.29786428409442,4.29786428409442,4.30321666217698,4.27492485642066,4.90682060362984,299.105766251337
"6",6,2500,2750,3000,531.959413976,9926.074390109,18.6594580889527,350,31.3667211,0.0896192031428572,452,34.3953117,102,3.0285906,1,0.0238028,100,2.8604052,0,0,1,0.1443826,24,1.8056393,0,0,0,0,0,0,1.8056393,1.8056393,102,0.00030285906,316.452406946322,500.592692876,530.153774676,18.7230099345709,530.153774676,18.7230099345709,530.153774676,18.7230099345709,495.758462976,498.618868176,0.0589645004410339,0.941035499558966,0.00339431778545696,0.00339431778545696,0.00339431778545696,0.931947907962705,0.93732501968373,0.996605682214543,0.996605682214543,0.996605682214543,5.69327381080362e-07,0.000271416570901242,4.47455188772614e-05,0,0,0,0.068605243745553,0.146353892542459,0.0254650765119904,0.0154130490202806,0.0300553747407275,0.150879255665247,0.151325877154402,0.138872595339013,0.13926766142096,0.140980269078397,0.173258985779733,0.69068373492535,0.176472986869137,0,0,0,1,11.88411766,0.2213979,0.2213979,0.2213979,11.88411766,0.00285714285714286,0.00119726260281125,0.00705836926002444,0.00346020761245675,0.00618800923604817,0.00618800923376006,0.0224163596067252,0.0224163596067252,0.0224163596067252,53.6776440065601,0.0223402713586269,173,7881.957235746,26.3517395,0.152322193641619,0.1015659,45.5604464493988,0.494285714285714,0.794065904200769,0.840117760985862,0.0890834191555098,0.0699173221735924,0.0699163695324689,14.867303813055,14.867303813055,14.867303813055,299.105766271938,14.8168394593006,147,808.5,0.7022783,0.00477740340136055,0.0044677,5.5,0.42,0.0814521399119921,0.0223892799556916,0.177966101694915,0.177966101694915,0.164886906814348,1.52502922476429,1.52502922476429,1.52502922476429,1.51985279094333,1.63083448973647,1151.25300041308,29,1223.733036703,4.0913054,0.141079496551724,0.1123332,42.1976909207931,0.0828571428571429,0.123284693284428,0.130434589798422,0.137440758293839,0.101610779447758,0.101610779445766,2.30826053714486,2.30826053714486,2.30826053714486,2.30042556735016,2.46840574209671,299.105766267901
"7",7,3000,3250,3500,544.84773792,8032.865518951,14.7433217757627,283,25.1951263,0.0890287148409894,429,27.1486956,146,1.9535693,1,0.0027048,145,1.9508645,0,0,0,0,26,4.1767659,0,0,2,6.7329653,2,6.7329653,4.1767659,10.9097312,146,0.00019535693,318.82616595381,519.65261162,540.67097202,14.857216189986,540.67097202,14.857216189986,533.93800672,15.044565881903,506.78931112,508.74017562,0.0462425087716881,0.953757491228312,0.00766593235010049,0.0200234495634483,0.00766593235010049,0.930148509113223,0.933729077342152,0.9923340676499,0.9923340676499,0.979976550436552,3.58553255164077e-07,0,4.96432271211365e-06,0,0.0123575172133478,0,0.0551067411700707,0.15192627372066,0.0589052659720977,0.0931261419618439,0.0695234448700756,0.154236386771657,0.154397593498622,0.141627551656633,0.142030455064553,0.141986584750005,0.111759389191931,0,0.020053276710456,0,0.145803587414736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,6522.114744041,21.8053795,0.151426246527778,0.1226435,45.2924635002847,0.508833922261484,0.811928785394718,0.865460217994621,0.0741503604531411,0.0578547668013441,0.0578539785169675,12.0630014954821,12.0630014954821,12.2151161032843,299.105766264742,11.9705273420785,122,671,0.5822089,0.00477220409836066,0.0048216,5.5,0.431095406360424,0.0835318353602445,0.0231079968827146,0.147699757869249,0.147699757869249,0.136695985965655,1.24105053669347,1.24105053669347,1.25670020031347,1.23153672723612,1.32402161071056,1152.50728733278,17,839.75077491,2.8075379,0.165149288235294,0.1333468,49.3971044064706,0.0600706713780919,0.104539379245037,0.111431785122665,0.0805687203791469,0.0697274064042226,0.0697274064024964,1.55316415781045,1.55316415781045,1.5727495783052,1.54125770644807,1.65700174901905,299.105766269442
"8",8,3500,3750,4000,503.151128271,4022.52512797,7.9946658209687,146,12.3847794,0.0848272561643836,201,12.8493042,55,0.4645248,4,0.0256304,51,0.4388944,0,0,0,0,9,1.3800279,0,0,0,0,0,0,1.3800279,1.3800279,55,4.645248e-05,324.795864185518,490.766348871,501.771100371,8.01665365939932,501.771100371,8.01665365939932,501.771100371,8.01665365939932,488.921796171,489.360690571,0.024614432332803,0.975385567667197,0.00274277015882335,0.00274277015882335,0.00274277015882335,0.971719566347994,0.972591857743838,0.997257229841177,0.997257229841177,0.997257229841177,9.23231160379719e-08,0,5.09397645357069e-05,0,0,0,0.0270879702970262,0.143481050579204,0.0194626446501144,0.0117800037205963,0.0229709531062816,0.148798582765429,0.148516112148812,0.13143781729597,0.131811732850526,0.13343265317558,0.026574438855332,0,0.190022738612715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,3204.020011132,10.7119968,0.172774141935484,0.15315035,51.6777421150323,0.424657534246575,0.796519576435545,0.864932386280534,0.0319258496395469,0.0284214304478843,0.0284210431990429,6.38542157721521,6.38542157721521,6.38542157721521,299.105766268713,6.36790783346171,77,423.5,0.3521624,0.00457353766233766,0.0050399,5.5,0.527397260273973,0.10528212665603,0.0284350967123403,0.0932203389830508,0.0932203389830508,0.0826837007954214,0.844010345926404,0.844010345926404,0.844010345926404,0.841695419535859,0.86619169633395,1202.57017784976,7,395.005116838,1.3206202,0.188660028571429,0.1965979,56.4293024054286,0.0479452054794521,0.0981982969084254,0.106632517007126,0.033175355450237,0.0327986387585799,0.0327986387605831,0.787221736257709,0.787221736257709,0.787221736257709,0.785062567971125,0.807910630966935,299.105766243769
"9",9,4000,4250,4500,340.156380497,1389.355487791,4.08446105218142,88,3.7555501,0.0426767056818182,132,4.4147431,44,0.659193,2,0.010829,42,0.648364,0,0,0,0,6,1.3345267,0,0,0,0,0,0,1.3345267,1.3345267,44,6.59193e-05,369.947264926914,336.400830397,338.821853797,4.10054862819862,338.821853797,4.10054862819862,338.821853797,4.10054862819862,334.407110697,335.055474697,0.0110406575190881,0.988959342480912,0.00392327404839543,0.00392327404839543,0.00392327404839543,0.98309815681952,0.985004233074955,0.996076725951604,0.996076725951604,0.996076725951604,1.93791161299652e-07,0,3.18353575616539e-05,0,0,0,0.00821413335451043,0.0983505586153491,0.0188209375608927,0.0113916026561746,0.0222135728160139,0.101773544415664,0.101686010778901,0.0887536266682645,0.0890061138307666,0.0901006432466412,0.0377109770508762,0,0.0802857636414995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,999.740893901,3.3424327,0.167121635,0.08256245,49.98704469505,0.227272727272727,0.719571702624887,0.889998165648223,0.0102986611740474,0.00886825493698276,0.00886813410517389,2.95063875808902,2.95063875808902,2.95063875808902,299.10576625851,2.93906259362322,67,368.5,0.342525,0.00511231343283582,0.0042269,5.5,0.761363636363636,0.265230895359902,0.0912050141469288,0.0811138014527845,0.0811138014527845,0.0804209495816467,1.08759218412394,1.08759218412394,1.08759218412394,1.08332526193272,1.10195025228961,1075.83388073863,1,21.11459389,0.0705924,0.0705924,0.0705924,21.11459389,0.0113636363636364,0.0151974020152114,0.0187968202048483,0.004739336492891,0.00175321763696608,0.00175321763732115,0.0623176859856581,0.0623176859856581,0.0623176859856581,0.0620731966254745,0.0631403855198867,299.105766201461
"10",10,4500,4750,5000,138.830548598,483.317735732,3.48135003868279,26,1.4703245,0.0565509423076923,45,1.6253794,19,0.1550549,0,0,19,0.1550549,0,0,0,0,9,1.6707833,0,0,3,0.7438447,3,0.7438447,1.6707833,2.414628,19,1.550549e-05,328.715012048021,137.360224098,137.159765298,3.52375738382113,137.159765298,3.52375738382113,136.415920598,3.54297162393732,134.790541198,134.945596098,0.0105907850602643,0.989409214939736,0.0120346949347434,0.0173926273747706,0.0120346949347434,0.97089972314596,0.972016587564965,0.987965305065256,0.987965305065256,0.982607372625229,1.11686441900463e-07,0,0,0,0.00535793244002722,0,0.00321589146618065,0.0401588032812665,0.0235631914798574,0.020611414322751,0.0278106586360018,0.0410221873058666,0.040954648933272,0.0359286936977182,0.0360309039877614,0.0362761789336251,0.008870348707474,0,0,0,0.016108092186282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,380.969369399,1.2736945,0.106141208333333,0.08343215,31.7474474499167,0.461538461538462,0.788237925558452,0.866267616434331,0.00617919670442842,0.003379409116525,0.00337936307140078,2.77755921039444,2.77755921039444,2.79270460316481,299.105766256351,2.74413213263416,11,60.5,0.0567184,0.00515621818181818,0.004009,5.5,0.423076923076923,0.125176453349826,0.0385754301176373,0.013317191283293,0.013317191283293,0.0133168311415274,0.441091451771988,0.441091451771988,0.443496622203545,0.435783050711589,0.448844551422409,1066.67324889278,3,41.848366333,0.1399116,0.0466372,0.0369024,13.9494554443333,0.115384615384615,0.086585621091722,0.0951569534480314,0.014218009478673,0.00347481435425482,0.00347481435375227,0.305106721654694,0.305106721654694,0.30677039856896,0.30143485533704,0.310469606851174,299.105766305296
